CH-Gefahrensymbol-Rechtskurve.svg|1.01 Virage à droite
CH-Vorschriftssignal-Verbot für Fahrzeuge mit gefährlicher Ladung.svg|2.10.1 Circulation interdite aux véhicules transportant des marchandises dangereuses
CH-Vorschriftssignal-Verbot für Fahrzeuge mit wassergefährdender Ladung.svg|2.11 Circulation interdite aux véhicules dont le chargement peut altérer les eaux
CH-Vorschriftssignal-Verbot für Tiere.svg|2.12 Circulation interdite aux animaux
CH-Vorschriftssignal-Verbot für Motorwagen und Motorräder.svg|2.13 Circulation interdite aux voitures automobiles et aux motocycles
CH-Vorschriftssignal-Verbot für Motorwagen, Motorräder und Motor- fahrräder.svg|2.14 Circulation interdite aux voitures automobiles, aux motocycles et cyclomoteurs
CH-Vorschriftssignal-Verbot für Fussgänger.svg|2.15 Accès interdit aux piétons
CH-Vorschriftssignal-Skifahren verboten.svg|2.15.1 Interdiction de skier
CH-Vorschriftssignal-Schlitteln verboten.svg|2.15.2 Interdiction de luger
CH-Vorschriftssignal-Verbot für fahrzeugähnliche Geräte.svg|2.15.3 Circulation interdite aux engins assimilés à des véhicules
CH-Vorschriftssignal-Höchstgewicht.svg|2.16 Poids maximal
CH-Vorschriftssignal-Achsdruck.svg|2.17 Charge par essieu
CH-Vorschriftssignal-Höchstbreite.svg|2.18 Largeur maximale
CH-Vorschriftssignal-Höchsthöhe.svg|2.19 Hauteur maximale
CH-Vorschriftssignal-Höchstlänge.svg|2.20 Longueur maximale
CH-Vorschriftssignal-Höchstgeschwindigkeit.svg|2.30 Vitesse maximale
CH-Vorschriftssignal-Höchstgeschwindigkeit 50 generell.svg|2.30.1 Vitesse maximale 50, Limite générale
CH-Vorschriftssignal-Mindestgeschwindigkeit.svg|2.31 Vitesse minimale
CH-Vorschriftssignal-Fahrtrichtung rechts.svg|2.32 Sens obligatoire à droite
CH-Vorschriftssignal-Fahrtrichtung links.svg|2.33 Sens obligatoire à gauche
CH-Vorschriftssignal-Hindernis rechts umfahren.svg|2.34 Obstacle à contourner par la droite
CH-Vorschriftssignal-Hindernis links umfahren.svg|2.35 Obstacle à contourner par la gauche
CH-Vorschriftssignal-Geradeausfahren.svg|2.36 Circuler tout droit
CH-Vorschriftssignal-Rechtsabbiegen.svg|2.37 Obliquer à droite
CH-Vorschriftssignal-Linksabbiegen.svg|2.38 Obliquer à gauche
CH-Vorschriftssignal-Rechts- oder Linksabbiegen.svg|2.39 Obliquer à droite ou à gauche
CH-Vorschriftssignal-Geradeaus oder Rechtsabbiegen.svg|2.40 Circuler tout droit ou obliquer à droite
CH-Vorschriftssignal-Geradeaus oder Linksabbiegen.svg|2.41 Circuler tout droit ou obliquer à gauche
CH-Vorschriftssignal-Kreisverkehrsplatz.svg|2.41.1 Carrefour à sens giratoire
CH-Vorschriftssignal-Vorgeschriebene Fahrtrichtung für Fahrzeuge mit gefährlicher Ladung.svg|2.41.2 Sens obligatoire pour les véhicules transportant des marchandises dangereuses
CH-Vorschriftssignal-Abbiegen nach rechts verboten.svg|2.42 Interdiction d'obliquer à droite
CH-Vorschriftssignal-Abbiegen nach links verboten.svg|2.43 Interdiction d’obliquer à gauche
CH-Vorschriftssignal-Überholen verboten.svg|2.44 Interdiction de dépasser
CH-Vorschriftssignal-Überholen für Lastwagen verboten.svg|2.45 Interdiction aux camions de dépasser
CH-Vorschriftssignal-Wenden verboten.svg|2.46 Interdiction de faire demi-tour
CH-Vorschriftssignal-Mindestabstand.svg|2.47 Distance minimale
CH-Vorschriftssignal-Schneeketten obligatorisch.svg|2.48 Chaînes à neige obligatoires
CH-Vorschriftssignal-Halten verboten.svg|2.49 Interdiction de s’arrêter
CH-Vorschriftssignal-Parkieren verboten.svg|2.50 Interdiction de parquer
CH-Vorschriftssignal-Zollhaltestelle-1.svg|2.51 Arrêt à proximité d’un poste de douane
CH-Vorschriftssignal-Polizei-1.svg|2.52 Police
CH-Vorschriftssignal-Ende der Höchstgeschwindigkeit.svg|2.53 Fin de la vitesse maximale
CH-Vorschriftssignal-Ende der Höchstgeschwindigkeit 50 generell-1.svg|2.53.1 Fin de la vitesse maximale 50, Limite générale
CH-Vorschriftssignal-Ende der Mindestgeschwindigkeit.svg|2.54 Fin de la vitesse minimale
CH-Vorschriftssignal-Ende des Überholverbotes.svg|2.55 Fin de l’interdiction de dépasser
CH-Vorschriftssignal-Ende des Überholverbotes für Lastwagen.svg|2.56 Fin de l’interdiction aux camions de dépasser
CH-Vorschriftssignal-Ende eines Teilfahrverbotes.svg|2.56.1 Fin de l’interdiction partielle de circuler
CH-Vorschriftssignal-Ende des Schneeketten-Obligatoriums.svg|2.57 Fin de l’obligation d’utiliser des chaînes à neige
CH-Vorschriftssignal-Freie Fahrt.svg|2.58 Libre circulation
CH-Vorschriftssignal-Zonensignal-1.svg|2.59.1 Signal de zone
CH-Vorschriftssignal-Zonensignal-2.svg|2.59.1 Signal de zone (variante, uniquement en Suisse)
CH-Vorschriftssignal-Zonensignal-3.svg|2.59.1 Signal de zone (variante, uniquement en Suisse)
CH-Vorschriftssignal-Ende-Zonensignal-1.svg|2.59.2 Signal de fin de zone
CH-Vorschriftssignal-Ende-Zonensignal-2.svg|2.59.2 Ende-Zonensignal (Variation, nur Schweiz)
CH-Vorschriftssignal-Ende-Zonensignal-3.svg|2.59.2 Ende-Zonensignal (Variation, nur Schweiz)
CH-Vorschriftssignal-Fussgängerzone-1.svg|2.59.3 Zone piétonne
CH-Vorschriftssignal-Ende der Fussgängerzone-1.svg|2.59.4 Fin de la zone piétonne
CH-Vorschriftssignal-Begegnungszone-1.svg|2.59.5 Zone de rencontre
CH-Vorschriftssignal-Ende der Begegnungszone-1.svg|2.59.6 Fin de la zone de rencontre
CH-Vorschriftssignal-Radweg.svg|2.60 Piste cyclable
CH-Vorschriftssignal-Ende des Radweges.svg|2.60.1 Fin de la piste cyclable
CH-Vorschriftssignal-Fussweg.svg|2.61 Chemin pour piétons
CH-Vorschriftssignal-Reitweg.svg|2.62 Allée d’équitation
CH-Vorschriftssignal-Rad- und Fussweg mit getrennten Verkehrsflächen.svg|2.63 Piste cyclable et chemin pour piétons, avec partage de l’aire de circulation
CH-Vorschriftssignal-Gemeinsamer Rad- und Fussweg.svg|2.63.1 Piste cyclable et chemin pour piétons sans partage de l’aire de circulation
CH-Vorschriftssignal-Busfahrbahn.svg|2.64 Chaussée réservée aux bus
CH-Vorschriftssignal-Lichtsignal-System für die zeitweilige Sperrung von Fahrstreifen.svg|2.65 Système de signaux lumineux pour la fermeture temporaire des voies de circulation
CH-Vorschriftssignal-Höchstgeschwindigkeit 50 generell-2.svg|2.30.1 Vitesse maximale 50, limite générale (f)
CH-Vorschriftssignal-Höchstgeschwindigkeit 50 generell-3.svg|2.30.1 Vitesse maximale 50, limite générale (i)
CH-Vorschriftssignal-Höchstgeschwindigkeit 50 generell-4.svg|2.30.1 Vitesse maximale 50, limite générale (r)
CH-Vorschriftssignal-Ende der Höchstgeschwindigkeit 50 generell-2.svg|2.53.1 (f) Fin de la vitesse maximale 50, Limite générale
CH-Vorschriftssignal-Ende der Höchstgeschwindigkeit 50 generell-3.svg|2.53.1 (i) Fin de la vitesse maximale 50, Limite générale
CH-Vorschriftssignal-Ende der Höchstgeschwindigkeit 50 generell-4.svg|2.53.1 (r) Fin de la vitesse maximale 50, Limite générale
CH-Vorschriftssignal-Zollhaltestelle-2.svg|2.51 Arrêt à proximité d'un poste de douane
CH-Vorschriftssignal-Polizei-2.svg|2.52 Police
CH-Vorschriftssignal-Zonensignal-4.svg|2.59.1 (i/r) Signal de zone
CH-Vorschriftssignal-Zonensignal-5.svg|2.59.1 (i/r) Signal de zone (Variante)
CH-Vorschriftssignal-Zonensignal-6.svg|2.59.1 (i/r) Signal de zone (Variante)
CH-Vorschriftssignal-Ende-Zonensignal-4.svg|2.59.2 (i/r) Signal de fin de zone
CH-Vorschriftssignal-Ende-Zonensignal-5.svg|2.59.2 (i/r) Signal de fin de zone (Variante)
CH-Vorschriftssignal-Ende-Zonensignal-6.svg|2.59.2 (i/r) Signal de fin de zone (Variante)
CH-Vorschriftssignal-Fussgängerzone-2.svg|2.59.3 (i/r) Zone piétonne
CH-Vorschriftssignal-Ende der Fussgängerzone-2.svg|2.59.4 (i/r) Fin de la zone piétonne
CH-Vorschriftssignal-Begegnungszone-2.svg|2.59.5 (i/r) Zone de rencontre
CH-Vorschriftssignal-Ende der Begegnungszone-2.svg|2.59.6 (i/r) Fin de la zone de rencontre
CH-Vortrittssignal-Stop.svg|3.01 Stop
CH-Vortrittssignal-Kein Vortritt.svg|3.02 Cédez le passage
CH-Vortrittssignal-Hauptstrasse.svg|3.03 Route principale
CH-Vortrittssignal-Ende der Hauptstrasse.svg|3.04 Fin de la route principale
CH-Vortrittssignal-Verzweigung mit Strasse ohne Vortritt.svg|3.05 Intersection avec une route sans priorité
CH-Vortrittssignal-Verzweigung mit Rechtsvortritt.svg|3.06 Intersection comportant la priorité de droite
CH-Vortrittssignal-Einfahrt von rechts.svg|3.07 Entrée par la droite
CH-Vortrittssignal-Einfahrt von links.svg|3.08 Entrée par la gauche
CH-Vortrittssignal-Dem Gegenverkehr Vortritt lassen.svg|3.09 Laissez passer les véhicules en sens inverse
CH-Vortrittssignal-Vortritt vor dem Gegenverkehr.svg|3.10 Priorité par rapport aux véhicules venant en sens inverse
CH-Vortrittssignal-Wechselblinklicht.svg|3.20 Signal à feux clignotant alternativement
CH-Vortrittssignal-Einfaches Blinklicht.svg|3.21 Signal à feu clignotant simple
CH-Vortrittssignal-Einfaches Andreaskreuz.svg|3.22 Croix de St-André simple
CH-Vortrittssignal-Doppeltes Andreaskreuz.svg|3.23 Croix de St-André double
CH-Vortrittssignal-Einfaches Andreaskreuz 2.svg|3.24 Croix de St-André simple
CH-Vortrittssignal-Doppeltes Andreaskreuz 2.svg|3.25 Croix de St-André double
CH-Hinweissignal-Autobahn.svg|4.01 Autoroute
CH-Hinweissignal-Ende der Autobahn.svg|4.02 Fin de l'autoroute
CH-Hinweissignal-Autostrasse.svg|4.03 Semi-autoroute
CH-Hinweissignal-Ende der Autostrasse.svg|4.04 Fin de la semi-autoroute
CH-Hinweissignal-Bergpoststrasse.svg|4.05 Route postale de montagne
CH-Hinweissignal-Ende der Bergpoststrasse.svg|4.06 Fin de la route postale de montagne
CH-Hinweissignal-Tunnel.svg|4.07 Tunnel
CH-Hinweissignal-Einbahnstrasse.svg|4.08 Sens unique
CH-Hinweissignal-Einbahnstrasse mit Gegenverkehr von Radfahrern.svg|4.08.1 Sens unique avec circulation de cyclistes en sens inverse
CH-Hinweissignal-Sackgasse.svg|4.09 [[Impasse]]
CH-Hinweissignal-Wasserschutzgebiet.svg|4.10 Zone de protection des eaux
CH-Hinweissignal-Standort eines Fussgängerstreifens.svg|4.11 Emplacement d'un [[passage pour piétons]]
CH-Hinweissignal-Fussgänger-Unterführung.svg|4.12 Passage souterrain pour piétons
CH-Hinweissignal-Fussgänger-Überführung.svg|4.13 Passerelle pour piétons
CH-Hinweissignal-Spital.svg|4.14 Hôpital
CH-Hinweissignal-Ausstellplatz.svg|4.15 Place d'évitement
CH-Hinweissignal-Abstellplatz für Pannenfahrzeuge.svg|4.16 Place d'arrêt pour véhicules en panne
CH-Hinweissignal-Parkieren gestattet.svg|4.17 Parcage autorisé
CH-Hinweissignal-Parkieren mit Parkscheibe.svg|4.18 Parcage avec disque de stationnement
CH-Hinweissignal-Ende des Parkierens mit Parkscheibe.svg|4.19 Fin du parcage avec disque de stationnement
CH-Hinweissignal-Parkieren gegen Gebühr.svg|4.20 Parcage contre paiement
CH-Hinweissignal-Parkhaus.svg|4.21 Parking couvert
CH-Hinweissignal-Entfernung und Richtung eines Parkplatzes.svg|4.22 Distance et direction d'un parking
CH-Hinweissignal-Vorwegweiser für bestimmte Fahrzeugarten (Beispiel Lastwagen).svg|4.23 Indicateur de direction avancé pour des genres de véhicules déterminés
CH-Hinweissignal-Notfallspur.svg|4.24 Voie de détresse
CH-Hinweissignal-Parkplatz mit Anschluss an öffentliches Verkehrsmittel (1).svg|4.25 Parking avec accès aux transports publics
CH-Hinweissignal-Ortsbeginn auf Hauptstrassen.svg|4.27 Début de localité sur route principale (Suisse)
CH-Hinweissignal-Ortsende auf Hauptstrassen.svg|4.28 Fin de localité sur route principale (Suisse)
CH-Hinweissignal-Ortsbeginn auf Nebenstrassen.svg|4.29 Début de localité sur route secondaire (Suisse)
CH-Hinweissignal-Ortsende auf Nebenstrassen.svg|4.30 Fin de localité sur route secondaire (Suisse)
LI-Hinweissignal-Ortsbeginn auf Hauptstrassen.svg|4.27 Début de localité sur route principale (Liechtenstein)
LI-Hinweissignal-Ortsende auf Hauptstrassen.svg|4.28 Fin de localité sur route principale (Liechtenstein)
LI-Hinweissignal-Ortsbeginn auf Nebenstrassen.svg|4.29 Début de localité sur route secondaire (Liechtenstein)
LI-Hinweissignal-Ortsende auf Nebenstrassen.svg|4.30 Fin de localité sur route secondaire (Liechtenstein)
CH-Hinweissignal-Wegweiser zu Autobahnen oder Autostrassen.svg|4.31 Indicateur de direction pour autoroutes et semi-autoroutes
CH-Hinweissignal-Wegweiser für Hauptstrassen.svg|4.32 Indicateur de direction pour routes principales
CH-Hinweissignal-Wegweiser für Nebenstrassen.svg|4.33 Indicateur de direction pour routes secondaires
CH-Hinweissignal-Wegweiser bei Umleitungen.svg|4.34 Indicateur de direction pour déviation
CH-Hinweissignal-Wegweiser für Umleitungen ohne Zielangabe.svg|4.34.1  Indicateur de direction pour déviation sans mention du lieu de destination
CH-Hinweissignal-Wegweiser in Tabellenform.svg|4.35 Indicateur de direction en forme de tableau
CH-Hinweissignal-Vorwegweiser auf Hauptstrassen.svg|4.36 Indicateur de direction avancé sur route principale
CH-Hinweissignal-Vorwegweiser auf Nebenstrassen.svg|4.37 Indicateur de direction avancé sur route secondaire
CH-Hinweissignal-Vorwegweiser mit Fahrstreifenaufteilung auf Hauptstrassen.svg|4.38 Indicateur de direction avancé avec répartition des voies sur route principale
CH-Hinweissignal-Vorwegweiser mit Fahrstreifenaufteilung auf Nebenstrassen.svg|4.39 Indicateur de direction avancé avec répartition des voies sur route secondaire
CH-Hinweissignal-Vorwegweiser mit Anzeige von Beschränkungen.svg|4.40 Indicateur de direction avancé annonçant des restrictions
CH-Hinweissignal-Einspurtafel über Fahrstreifen auf Hauptstrassen.svg|4.41 Panneau de présélection au-dessus d'une voie de circulation sur route principale
CH-Hinweissignal-Einspurtafel über Fahrstreifen auf Nebenstrassen.svg|4.42 Panneau de présélection au-dessus d'une voie de circulation sur route secondaire
CH-Hinweissignal-Wegweiser für bestimmte Fahrzeugarten (Beispiel Lastwagen).svg|4.45  Indicateur de direction pour des genres de véhicules déterminés
CH-Hinweissignal-Wegweiser «Parkplatz».svg|4.46 Indicateur de direction «Place de stationnement
CH-Hinweissignal-Wegweiser «Parkplatz mit Anschluss an öffentliches Verkehrsmittel» (Beispiel).svg|4.46.1 Indicateur de direction «Parking avec accès aux transports publics»
CH-Hinweissignal-Wegweiser «Zeltplatz».svg|4.47 Indicateur de direction «Place de camping»
CH-Hinweissignal-Wegweiser «Wohnwagenplatz».svg|4.48 Indicateur de direction «Terrain pour caravanes»
CH-Hinweissignal-Betriebswegweiser.svg|4.49 Indicateur de direction «Entreprise»
CH-Hinweissignal-Wegweiser «Empfohlene Route für Radfahrer».svg|4.50.1 Indicateur de direction «Itinéraire recommandé aux cyclistes»
CH-Hinweissignal-Wegweiser «Route für Mountain-Bikes».svg|4.50.3 Indicateur de direction «Itinéraire pour vélos tout terrain»
CH-Zusatztafel-Wegweiser «Route für fahrzeugähnliche Geräte».svg|4.50.4 Indicateur de direction «Itinéraire pour engins assimilés à des véhicules»
CH-Zusatztafel-Wegweiser in Tabellenform für einen einzigen Adressatenkreis.svg|4.50.5 Indicateur de direction en forme de tableau destiné à un seul cercle d'usagers
CH-Zusatztafel-Wegweiser in Tabellenform für mehrere Adressatenkreise.svg|4.50.6 Indicateur de direction en forme de tableau destiné à plusieurs cercles d'usagers
CH-Hinweissignal-Wegweiser ohne Zielangabe (1).svg|4.51.1 Indicateur de direction sans destination
CH-Hinweissignal-Vorwegweiser ohne Zielangabe.svg|4.51.2 Indicateur de direction avancé sans destination
CH-Hinweissignal-Bestätigungstafel (3).svg|4.51.3 Plaque de confirmation
CH-Hinweissignal-Endetafel.svg|4.51.4 Plaque indiquant la fin d'un itinéraire
CH-Hinweissignal-Verkehrsführung.svg|4.52 Guidage du trafic
CH-Hinweissignal-Vorwegweiser für Umleitungen.svg|4.53 Indicateur de direction avancé annonçant une déviation
CH-Hinweissignal-Vorwegweiser bei Kreisverkehrsplatz.svg|4.54 Indicateur de direction avancé pour carrefour à sens giratoire
CH-Hinweissignal-Abzweigende Strasse mit Gefahrenstelle oder Verkehrsbeschränkung.svg|4.55 Route latérale comportant un danger ou une restriction
CH-Hinweissignal-Nummerntafeln für Europastrassen.svg|4.56 Plaque numérotée pour routes européennes
CH-Hinweissignal-Nummerntafel für Hauptstrassen.svg|4.57 Plaque numérotée pour routes principales
CH-Hinweissignal-Nummerntafel für Autobahnen und Autostrassen.svg|4.58 Plaque numérotée pour autoroutes et semi- autoroutes
CH-Hinweissignal-Nummerntafel für Anschlüsse.svg|4.59 Plaque numérotée pour jonctions
CH-Hinweissignal-Nummerntafel für Verzweigungen.svg|4.59.1 Plaque numérotée pour ramifications
CH-Hinweissignal-Ankündigung des nächsten Anschlusses.svg|4.60 Panneau annonçant la prochaine jonction
CH-Hinweissignal-Vorwegweiser bei Anschlüssen.svg|4.61 Indicateur de direction avancé, destiné aux jonctions
CH-Hinweissignal-Wegweiser bei Anschlüssen.svg|4.62 Indicateur de direction avancé destiné aux jonctions
CH-Hinweissignal-Ausfahrtstafel (1).svg|4.63 Panneau indicateur de sortie
CH-Hinweissignal-Trennungstafel.svg|4.64 Panneau de bifurcation
CH-Hinweissignal-Entfernungstafel.svg|4.65 Panneau des distances en kilomètres
CH-Hinweissignal-Verzweigungstafel.svg|4.66 Panneau de ramification
CH-Hinweissignal-Erster Vorwegweiser bei Verzweigungen.svg|4.67 Premier indicateur de direction avancé, destiné aux ramifications
CH-Hinweissignal-Zweiter Vorwegweiser bei Verzweigungen.svg|4.68 Deuxième indicateur de direction avancé, destiné aux ramifications
CH-Hinweissignal-Einspurtafel über Fahrstreifen auf Autobahnen und Autostrassen.svg|4.69 Panneau de présélection au- dessus d'une voie de circulation sur autoroute et semi-autoroute
CH-Hinweissignal-Hinweis auf Notrufsäulen.svg|4.70 Plaque indiquant un téléphone de secours
CH-Hinweissignal-Hinweis auf Polizeistützpunkte (1).svg|4.71 Panneau indiquant un centre de police
CH-Hinweissignal-Kilometertafel.svg|4.72 Plaque indiquant le nombre de kilomètres
CH-Hinweissignal-Hektometertafel.svg|4.73 Plaque indiquant le nombre d'hectomètres
CH-Hinweissignal-Strassenzustand.svg|4.75 Etat de la route
CH-Hinweissignal-Vororientierung über den Strassenzustand.svg|4.76 Préavis sur l'état de la route
CH-Hinweissignal-Anzeige der Fahrstreifen.svg|4.77 Disposition des voies de circulation
CH-Hinweissignal-Anzeige von Fahrstreifen mit Beschränkungen.svg|4.77.1 Disposition des voies de circulation annonçant des restrictions
CH-Hinweissignal-Zeltplatz.svg|4.79 [[Place de camping]]
CH-Hinweissignal-Wohnwagenplatz.svg|4.80 Terrain pour caravanes
CH-Hinweissignal-Telefon.svg|4.81 Téléphone
CH-Hinweissignal-Erste Hilfe.svg|4.82 Premiers secours
CH-Hinweissignal-Pannenhilfe.svg|4.83 [[Poste de dépannage]]
CH-Hinweissignal-Tankstelle.svg|4.84 [[Poste d'essence]]
CH-Hinweissignal-Hotel-Motel.svg|4.85 Hôtel-Môtel
CH-Hinweissignal-Restaurant.svg|4.86 Restaurant
CH-Hinweissignal-Erfrischungen.svg|4.87 Rafraîchissement
CH-Hinweissignal-Informationsstelle.svg|4.88 Poste d'information
CH-Hinweissignal-Jugendherberge.svg|4.89 [[Auberge de jeunesse]]
CH-Hinweissignal-Radio-Verkehrsinformation.svg|4.90 Bulletin routier radiophonique
CH-Hinweissignal-Gottesdienst (1).svg|4.91 Service religieux
CH-Hinweissignal-Feuerlöscher.svg|4.92 Extincteur
CH-Hinweissignal-Anzeige der allgemeinen Höchstgeschwindigkeiten.svg|4.93 Information sur les limitations générales de vitesse
CH-Hinweissignal-Richtung und Entfernung zum nächsten Notausgang.svg|4.94 Direction et distance vers l'issue de secours la plus proche
CH-Hinweissignal-Notausgang.svg|4.95 Issue de secours
CH-Zusatztafel-Distanztafel.svg|5.01 Plaque de distance
CH-Zusatztafel-Anzeige von Entfernung und Richtung.svg|5.02 Plaque indiquant la distance et la direction
CH-Zusatztafel-Streckenlänge.svg|5.03 Longueur du tronçon
CH-Zusatztafel-Wiederholungstafel.svg|5.04 Plaque de rappel
CH-Zusatztafel-Anfangstafel.svg|5.05 Plaque indiquant le début d'une prescription
CH-Zusatztafel-Endetafel.svg|5.06  Plaque indiquant la fin d'une prescription
CH-Zusatztafel-Richtungstafel.svg|5.07 Plaque de direction
CH-Zusatztafel-Richtung der Hauptstrasse.svg|5.09 Direction de la route principale
CH-Zusatztafel-Ausnahmen vom Halteverbot.svg|5.10 Dérogation à l'interdiction de s'arrêter
CH-Zusatztafel-Ausnahmen vom Parkierungsverbot.svg|5.11 Dérogation à l'inter- diction de parquer
CH-Zusatztafel-Blinklicht.svg|5.12 Feux clignotants
CH-Zusatztafel-Vereiste Fahrbahn.svg|5.13 Chaussée verglacée
CH-Zusatztafel-Gehbehinderte.svg|5.14 Handicapés
CH-Zusatztafel-Fahrbahnbreite.svg|5.15 Largeur de la chaussée
CH-Zusatztafel-Schiesslärm.svg|5.16 Bruit de tirs
CH-Zusatztafel-Übernächste Tankstelle.svg|5.17 Poste d'essence suivant
CH-Zusatztafel-Leichte Motorwagen.svg|5.20 Voiture automobile légère
CH-Zusatztafel-Schwere Motorwagen.svg|5.21 Voitures automobiles lourdes
CH-Zusatztafel-Lastwagen.svg|5.22 Camion
CH-Zusatztafel-Lastwagen mit Anhänger.svg|5.23 Camion avec remorque
CH-Zusatztafel-Sattelmotorfahrzeug.svg|5.24 Véhicule articulé
CH-Zusatztafel-Gesellschaftswagen.svg|5.25 Autocar
CH-Zusatztafel-Anhänger.svg|5.26 Remorque
CH-Zusatztafel-Wohnanhänger.svg|5.27 Caravane
CH-Zusatztafel-Wohnmotorwagen.svg|5.28 Voiture d'habitation
CH-Zusatztafel-Motorrad.svg|5.29 Motocycle
CH-Zusatztafel-Motorfahrrad.svg|5.30 Cyclomoteur
CH-Zusatztafel-Fahrrad.svg|5.31 Cycle
CH-Zusatztafel-Mountain-Bike.svg|5.32 Vélo tout-terrain
CH-Zusatztafel-Fahrrad schieben.svg|5.33 Pousser le cycle
CH-Zusatztafel-Fussgänger.svg|5.34 Piéton
CH-Zusatztafel-Strassenbahn.svg|5.35 Tramway ou chemin de fer routier
CH-Zusatztafel-Traktor.svg|5.36 Tracteur
CH-Zusatztafel-Panzer.svg|5.37 Char
CH-Zusatztafel-Pistenfahrzeug.svg|5.38 Dameuse de pistes
CH-Zusatztafel-Langlauf.svg|5.39 Ski de fond
CH-Zusatztafel-Skifahren.svg|5.40 Skier
CH-Zusatztafel-Schlitteln.svg|5.41 Luge
CH-Zusatztafel-Flugzeug Flugplatz.svg|5.50 Avion/Aérodrome
CH-Zusatztafel-Autoverlad auf Eisenbahn.svg|5.51 Quai de chargement pour le transport sur rail
CH-Zusatztafel-Autoverlad auf Fähre.svg|5.52 Quai de chargement pour le transport sur un bac
CH-Zusatztafel-Industrie und Gewerbegebiet.svg|5.53 Zone industrielle et artisanale
CH-Zusatztafel-Zollabfertigung mit Sichtdeklaration.svg|5.54 Passage en douane avec dédouanement à vue
CH-Zusatztafel-Spital mit Notfallstation.svg|5.56 Hôpital avec service d'urgence
CH-Zusatztafel-Notfalltelefon.svg|5.57 Téléphone de secours
CH-Zusatztafel-Feuerlöscher.svg|5.58 Extincteur
